"name": "Iron Sword",	"name": "鉄の剣",
"name": "Green Egg+",	"name": "緑の卵+",
"name": "Attack Def 1",	"name": "攻撃守備 1",
"name": "Attack Def 2",	"name": "攻撃守備 2",
"name": "Axe Experience 1",	"name": "斧の経験 1",
"name": "Axe Experience 2",	"name": "斧の経験 2",
"name": "Axe Experience 3",	"name": "斧の経験 3",
"name": "Live for Honor",	"name": "栄誉の喜び",
"name": "Live for Bounty",	"name": "豊穣の喜び",
"name": "Attack 1",	"name": "攻撃 1",
"name": "Resistance 1",	"name": "魔防 1",
"name": "Speed 1",	"name": "速さ 1",
"name": "HP +3",	"name": "ＨＰ 1",
"name": "Windsweep 1",	"name": "風薙ぎ 1",
"name": "Windsweep 2",	"name": "風薙ぎ 2",
"name": "Windsweep 3",	"name": "風薙ぎ 3",
"name": "Hit and Run",	"name": "一撃離脱",
"name": "Fortress Def 1",	"name": "守備の城塞 1",
"name": "Fortress Def 2",	"name": "守備の城塞 2",
"name": "Fortress Def 3",	"name": "守備の城塞 3",
"name": "Firesweep Bow",	"name": "火薙ぎの弓",
"name": "Firesweep Bow+",	"name": "火薙ぎの弓+",
"name": "Bow Experience 1",	"name": "弓の経験 1",
"name": "Bow Experience 2",	"name": "弓の経験 2",
"name": "Bow Experience 3",	"name": "弓の経験 3",
"name": "Eckesachs",	"name": "エッケザックス",
"name": "Ragnell",	"name": "ラグネル",
"name": "Heavy Blade 1",	"name": "剛剣 1",
"name": "Heavy Blade 2",	"name": "剛剣 2",
"name": "Heavy Blade 3",	"name": "剛剣 3",
"name": "Spur Def Res 1",	"name": "守備魔防の紋章 1",
"name": "Spur Def Res 2",	"name": "守備魔防の紋章 2",
"name": "Rexcalibur+",	"name": "レクスカリバー+",
"name": "Guard 1",	"name": "キャンセル 1",
"name": "Guard 2",	"name": "キャンセル 2",
"name": "Guard 3",	"name": "キャンセル 3",
"name": "Watersweep 1",	"name": "水薙ぎ 1",
"name": "Watersweep 2",	"name": "水薙ぎ 2",
"name": "Watersweep 3",	"name": "水薙ぎ 3",
"name": "Siegfried",	"name": "ジークフリート",
"name": "Gronnowl",	"name": "グルンアウル",
"name": "Gronnowl+",	"name": "グルンアウル+",
"name": "Earth Boost 1",	"name": "生命の大地 1",
"name": "Earth Boost 2",	"name": "生命の大地 2",
"name": "Earth Boost 3",	"name": "生命の大地 3",
"name": "Ragnarok",	"name": "ライナロック",
"name": "Distant Def 1",	"name": "遠距離防御 1",
"name": "Distant Def 2",	"name": "遠距離防御 2",
"name": "Distant Def 3",	"name": "遠距離防御 3",
"name": "Wrathful Staff 1",	"name": "神罰の杖 1",
"name": "Wrathful Staff 2",	"name": "神罰の杖 2",
"name": "Wrathful Staff 3",	"name": "神罰の杖 3",
"name": "Blarowl",	"name": "ブラーアウル",
"name": "Blarowl+",	"name": "ブラーアウル+",
"name": "B Tome Exp. 1",	"name": "青魔の経験 1",
"name": "B Tome Exp. 2",	"name": "青魔の経験 2",
"name": "B Tome Exp. 3",	"name": "青魔の経験 3",
"name": "Regal Blade",	"name": "リガルブレイド",
"name": "Blessed Bouquet",	"name": "聖なるブーケ",
"name": "Blessed Bouquet+",	"name": "聖なるブーケ+",
"name": "Attack Res 1",	"name": "攻撃魔防 1",
"name": "Attack Res 2",	"name": "攻撃魔防 2",
"name": "Gradivus",	"name": "グラディウス",
"name": "Grani's Shield",	"name": "グラ二の盾",
"name": "First Bite",	"name": "ファーストバイト",
"name": "First Bite+",	"name": "ファーストバイト+",
"name": "Wind Boost 1",	"name": "生命の疾風 1",
"name": "Wind Boost 2",	"name": "生命の疾風 2",
"name": "Wind Boost 3",	"name": "生命の疾風 3",
"name": "Cupid Arrow",	"name": "キューピッドの矢",
"name": "Cupid Arrow+",	"name": "キューピッドの矢+",
"name": "Rally Attack Speed",	"name": "攻撃速さの応援",
"name": "Candlelight",	"name": "キャンドルサービス",
"name": "Dazzling Staff 1",	"name": "幻惑の杖 1",
"name": "Dazzling Staff 2",	"name": "幻惑の杖 2",
"name": "Dazzling Staff 3",	"name": "幻惑の杖 3",
"name": "Fortify Res 1",	"name": "魔防の鼓舞 1",
"name": "Spur Def 1",	"name": "守備の紋章 1",
"name": "Quickened Pulse",	"name": "奥義の鼓動",
"name": "Breath of Life 1",	"name": "生の息吹 1",
"name": "Embla's Ward",	"name": "エンブラの加護",
"name": "Raudrowl",	"name": "ラウアアウル",
"name": "Raudrowl+",	"name": "ラウアアウル+",
"name": "Atk Ploy 1",	"name": "攻撃の謀策 1",
"name": "Atk Ploy 2",	"name": "攻撃の謀策 2",
"name": "Atk Ploy 3",	"name": "攻撃の謀策 3",
"name": "Sturdy Blow 1",	"name": "鬼神金剛の一撃 1",
"name": "Sturdy Blow 2",	"name": "鬼神金剛の一撃 2",
"name": "Sword Exp. 1",	"name": "剣の経験 1",
"name": "Sword Exp. 2",	"name": "剣の経験 2",
"name": "Sword Exp. 3",	"name": "剣の経験 3",
"name": "Firesweep Lance",	"name": "火薙ぎの槍",
"name": "Firesweep Lance+",	"name": "火薙ぎの槍+",
"name": "Rally Defense Resist",	"name": "守備魔防の応援",
"name": "Drive Def 1",	"name": "守備の大紋章 1",
"name": "Drive Def 2",	"name": "守備の大紋章 2",
"name": "Fire Boost 1",	"name": "生命の業火 1",
"name": "Fire Boost 2",	"name": "生命の業火 2",
"name": "Fire Boost 3",	"name": "生命の業火 3",
"name": "Panic Ploy 1",	"name": "恐慌の奇策 1",
"name": "Panic Ploy 2",	"name": "恐慌の奇策 2",
"name": "Panic Ploy 3",	"name": "恐慌の奇策 3",
"name": "Legion's Axe",	"name": "ローローの斧",
"name": "Legion's Axe+",	"name": "ローローの斧+",
"name": "Clarisse's Bow",	"name": "クライネの弓",
"name": "Clarisse's Bow+",	"name": "クライネの弓+",
"name": "Seashell",	"name": "貝殻",
"name": "Seashell+",	"name": "貝殻+",
"name": "Seal Atk Spd 1",	"name": "攻撃速さ封じ 1",
"name": "Seal Atk Spd 2",	"name": "攻撃速さ封じ 2",
"name": "Refreshing Bolt",	"name": "氷菓子の弓",
"name": "Refreshing Bolt+",	"name": "氷菓子の弓+",
"name": "Def Ploy 1",	"name": "守備の謀策 1",
"name": "Def Ploy 2",	"name": "守備の謀策 2",
"name": "Def Ploy 3",	"name": "守備の謀策 3",
"name": "Deft Harpoon",	"name": "魚を突いた銛",
"name": "Deft Harpoon+",	"name": "魚を突いた銛+",
"name": "Lance Valor 1",	"name": "槍の技量 1",
"name": "Lance Valor 2",	"name": "槍の技量 2",
"name": "Lance Valor 3",	"name": "槍の技量 3",
"name": "Melon Crusher",	"name": "スイカ割りの棍棒",
"name": "Melon Crusher+",	"name": "スイカ割りの棍棒+",
"name": "HP Def 1",	"name": "ＨＰ守備 1",
"name": "HP Def 2",	"name": "ＨＰ守備 2",
"name": "Close Def 1",	"name": "近距離防御 1",
"name": "Close Def 2",	"name": "近距離防御 2",
"name": "Close Def 3",	"name": "近距離防御 3",
"name": "Axe Valor 1",	"name": "斧の技量 1",
"name": "Axe Valor 2",	"name": "斧の技量 2",
"name": "Axe Valor 3",	"name": "斧の技量 3",
"name": "Dark Aura",	"name": "共鳴オーラ",
"name": "Drive Atk 1",	"name": "攻撃の大紋章 1",
"name": "Drive Atk 2",	"name": "攻撃の大紋章 2",
"name": "Dark Excalibur",	"name": "共鳴エクスカリバー",
"name": "Mirror Strike 1",	"name": "鬼神明鏡の一撃 1",
"name": "Mirror Strike 2",	"name": "鬼神明鏡の一撃 2",
"name": "Res Ploy 1",	"name": "魔防の謀策 1",
"name": "Res Ploy 2",	"name": "魔防の謀策 2",
"name": "Res Ploy 3",	"name": "魔防の謀策 3",
"name": "Zanbato",	"name": "斬馬刀",
"name": "Zanbato+",	"name": "斬馬刀+",
"name": "Sword Valor 1",	"name": "剣の技量 1",
"name": "Sword Valor 2",	"name": "剣の技量 2",
"name": "Sword Valor 3",	"name": "剣の技量 3",
"name": "Slaying Bow",	"name": "キラーボウ鍛",
"name": "Slaying Bow+",	"name": "キラーボウ鍛+",
"name": "Slaying Edge",	"name": "キルソード鍛",
"name": "Slaying Edge+",	"name": "キルソード鍛+",
"name": "HP Spd 1",	"name": "ＨＰ速さ 1",
"name": "HP Spd 2",	"name": "ＨＰ速さ 1",
"name": "Shield Pulse 1",	"name": "盾の鼓動 1",
"name": "Shield Pulse 2",	"name": "盾の鼓動 2",
"name": "Shield Pulse 3",	"name": "盾の鼓動 3",
"name": "Ridersbane",	"name": "ホースキラー",
"name": "Ridersbane+",	"name": "ホースキラー+",
"name": "Cancel Affinity 1",	"name": "相性相殺 1",
"name": "Cancel Affinity 2",	"name": "相性相殺 2",
"name": "Cancel Affinity 3",	"name": "相性相殺 3",
"name": "Berkut's Lance",	"name": "ベルクトの槍",
"name": "Berkut's Lance+",	"name": "ベルクトの槍+",
"name": "Water Boost 1",	"name": "生命の静水 1",
"name": "Water Boost 2",	"name": "生命の静水 2",
"name": "Water Boost 3",	"name": "生命の静水 3",
"name": "Phantom Spd 1",	"name": "速さの虚勢 1",
"name": "Sealife Tome",	"name": "熱帯魚の本",
"name": "Sealife Tome+",	"name": "熱帯魚の本+",
"name": "Swift Strike 1",	"name": "飛燕明鏡の一撃 1",
"name": "Swift Strike 2",	"name": "飛燕明鏡の一撃 2",
"name": "Tomato Tome",	"name": "トマトの本",
"name": "Tomato Tome+",	"name": "トマトの本+",
"name": "Lilith Floatie",	"name": "リリスの浮き輪",
"name": "Lilith Floatie+",	"name": "リリスの浮き輪+",
"name": "Infantry Pulse 1",	"name": "歩行の鼓動 1",
"name": "Infantry Pulse 2",	"name": "歩行の鼓動 2",
"name": "Infantry Pulse 3",	"name": "歩行の鼓動 3",
"name": "Hibiscus Tome",	"name": "リリスの浮き輪",
"name": "Hibiscus Tome+",	"name": "リリスの浮き輪+",
"name": "G Tome Valor 1",	"name": "緑魔の技量 1",
"name": "G Tome Valor 2",	"name": "緑魔の技量 2",
"name": "G Tome Valor 3",	"name": "緑魔の技量 3",
"name": "Rally Attack Resista",	"name": "攻撃魔防の応援",
"name": "Spd Res 1",	"name": "速さ魔防 1",
"name": "Spd Res 2",	"name": "速さ魔防 2",
"name": "Slaying Axe",	"name": "キラーアクス鍛",
"name": "Slaying Axe+",	"name": "キラーアクス鍛+",
"name": "Armor March 1",	"name": "重装の行軍 1",
"name": "Armor March 2",	"name": "重装の行軍 2",
"name": "Armor March 3",	"name": "重装の行軍 3",
"name": "Nidhogg",	"name": "ニーズヘッグ",
"name": "Fortress Res 1",	"name": "魔防の城塞 1",
"name": "Fortress Res 2",	"name": "魔防の城塞 2",
"name": "Fortress Res 3",	"name": "魔防の城塞 3",
"name": "Vidofnir",	"name": "ヴィドフニル",
"name": "Spd Def 1",	"name": "速さ守備 1",
"name": "Spd Def 2",	"name": "速さ守備 2",
"name": "Guidance 1",	"name": "空からの先導 1",
"name": "Guidance 2",	"name": "空からの先導 2",
"name": "Guidance 3",	"name": "空からの先導 3",
"name": "Seal Atk Def 1",	"name": "攻撃守備封じ 1",
"name": "Seal Atk Def 2",	"name": "攻撃守備封じ 2",
"name": "Cursed Lance",	"name": "魔性の槍",
"name": "Defense 1",	"name": "守備 1",
"name": "Hardy Bearing 1",	"name": "不動の姿勢 1",
"name": "Urvan",	"name": "ウルヴァン",
"name": "Steady Stance 1",	"name": "金剛の構え 1",
"name": "Steady Stance 2",	"name": "金剛の構え 2",
"name": "Steady Breath",	"name": "金剛の呼吸",
"name": "Beorc's Blessing",	"name": "ベオクの加護",
"name": "Mulagir",	"name": "ミュルグレ",
"name": "Sacae's Blessing",	"name": "サカの加護",
"name": "Atk Smoke 1",	"name": "攻撃の紫煙 1",
"name": "Atk Smoke 2",	"name": "攻撃の紫煙 2",
"name": "Atk Smoke 3",	"name": "攻撃の紫煙 3",
"name": "Geirskogul",	"name": "ゲイルスケグル",
"name": "Drive Spd 1",	"name": "速さの大紋章 1",
"name": "Drive Spd 2",	"name": "速さの大紋章 2",
"name": "Blazing Durandal",	"name": "烈剣デュランダル",
"name": "Steady Blow 1",	"name": "飛燕金剛の一撃 1",
"name": "Steady Blow 2",	"name": "飛燕金剛の一撃 2",
"name": "Distant Def 1",	"name": "遠距離防御 1",
"name": "Atk Ploy 1",	"name": "攻撃の謀策 1",
"name": "Amiti",	"name": "アミーテ",
"name": "Flier Formation 1",	"name": "編隊飛行 1",
"name": "Flier Formation 2",	"name": "編隊飛行 2",
"name": "Flier Formation 3",	"name": "編隊飛行 3",
"name": "Slaying Lance",	"name": "キラーランス鍛",
"name": "Slaying Lance+",	"name": "キラーランス鍛+",
"name": "Atk Spd 1",	"name": "攻撃速さ 1",
"name": "Atk Spd 2",	"name": "攻撃速さ 2",
"name": "Wrath 1",	"name": "怒り 1",
"name": "Wrath 2",	"name": "怒り 2",
"name": "Wrath 3",	"name": "怒り 3",
"name": "Rally Speed Defense",	"name": "速さ守備の応援",
"name": "Spur Spd Def 1",	"name": "速さ守備の紋章 1",
"name": "Spur Spd Def 2",	"name": "速さ守備の紋章 2",
"name": "Alondite",	"name": "エタルド",
"name": "Black Luna",	"name": "黒の月光",
"name": "Steady Stance 3",	"name": "金剛の構え 3",
"name": "Panic Ploy 1",	"name": "恐慌の奇策 1",
"name": "Uror",	"name": "ウルズ",
"name": "Drive Res 1",	"name": "魔防の大紋章 1",
"name": "Drive Res 2",	"name": "魔防の大紋章 2",
"name": "Dancer's Ring",	"name": "舞踏祭の輪",
"name": "Dancer's Ring+",	"name": "舞踏祭の輪+ ",
"name": "Gale Dance 1",	"name": "疾風の舞い 1",
"name": "Gale Dance 2",	"name": "疾風の舞い 2",
"name": "Gale Dance 3",	"name": "疾風の舞い 3",
"name": "Dancer's Fan",	"name": "舞踏祭の扇子",
"name": "Dancer's Fan+",	"name": "舞踏祭の扇子+",
"name": "Blaze Dance 1",	"name": "業火の舞い 1",
"name": "Blaze Dance 2",	"name": "業火の舞い 2",
"name": "Blaze Dance 3",	"name": "業火の舞い 3",
"name": "Dancer's Score",	"name": "舞踏祭の楽譜",
"name": "Dancer's Score+",	"name": "舞踏祭の楽譜+",
"name": "Torrent Dance 1",	"name": "静水の舞い 1",
"name": "Geyser Dance 1",	"name": "大地静水の舞い 1",
"name": "Geyser Dance 2",	"name": "大地静水の舞い 2",
"name": "B Tome Valor 1",	"name": "青魔の技量 1",
"name": "B Tome Valor 2",	"name": "青魔の技量 2",
"name": "B Tome Valor 3",	"name": "青魔の技量 3",
"name": "Phantom Spd 2",	"name": "速さの虚勢 2",
"name": "Phantom Spd 3",	"name": "速さの虚勢 3",
"name": "Panic Ploy 2",	"name": "恐慌の奇策 2",
"name": "Panic Ploy 3",	"name": "恐慌の奇策 3",
"name": "Hardy Bearing 2",	"name": "不動の姿勢 2",
"name": "Hardy Bearing 3",	"name": "不動の姿勢 3",
"name": "Atk Ploy 2",	"name": "攻撃の謀策 2",
"name": "Atk Ploy 3",	"name": "攻撃の謀策 3",
"name": "Breath of Life 2",	"name": "生の息吹 2",
"name": "Breath of Life 3",	"name": "生の息吹 3",
"name": "Distant Def 2",	"name": "遠距離防御 2",
"name": "Distant Def 3",	"name": "遠距離防御 3",
"name": "Deflect Magic 1",	"name": "連撃防御・魔道 1",
"name": "Deflect Magic 2",	"name": "連撃防御・魔道 2",
"name": "Deflect Magic 3",	"name": "連撃防御・魔道 3",
"name": "Deflect Melee 1",	"name": "連撃防御・剣槍斧 1",
"name": "Deflect Melee 2",	"name": "連撃防御・剣槍斧 2",
"name": "Deflect Melee 3",	"name": "連撃防御・剣槍斧 3",
"name": "Deflect Missile 1",	"name": "連撃防御・弓暗器 1",
"name": "Deflect Missile 2",	"name": "連撃防御・弓暗器 2",
"name": "Deflect Missile 3",	"name": "連撃防御・弓暗器 3",
"name": "HP +4",	"name": "ＨＰ 2",
"name": "HP +5",	"name": "ＨＰ 3",
"name": "Attack +2",	"name": "攻撃 2",
"name": "Attack +3",	"name": "攻撃 3",
"name": "Speed +2",	"name": "速さ 2",
"name": "Speed +3",	"name": "速さ 3",
"name": "Defense +2",	"name": "守備 2",
"name": "Defense +3",	"name": "守備 3",
"name": "Resistance +2",	"name": "魔防 2",
"name": "Resistance +3",	"name": "魔防 3",
"name": "Fortify Def 2",	"name": "守備の鼓舞 2",
"name": "Fortify Def 3",	"name": "守備の鼓舞 3",
"name": "Fortify Res 2",	"name": "魔防の鼓舞 2",
"name": "Fortify Res 3",	"name": "魔防の鼓舞 3",
"name": "Spur Atk 1",	"name": "攻撃の紋章 1",
"name": "Spur Atk 2",	"name": "攻撃の紋章 2",
"name": "Spur Atk 3",	"name": "攻撃の紋章 3",
"name": "Spur Spd 1",	"name": "速さの紋章 1",
"name": "Spur Spd 2",	"name": "速さの紋章 2",
"name": "Spur Spd 3",	"name": "速さの紋章 3",
"name": "Spur Def 1",	"name": "守備の紋章 1",
"name": "Spur Def 2",	"name": "守備の紋章 2",
"name": "Spur Def 3",	"name": "守備の紋章 3",
"name": "Spur Res 1",	"name": "魔防の紋章 1",
"name": "Spur Res 2",	"name": "魔防の紋章 2",
"name": "Spur Res 3",	"name": "魔防の紋章 3",
"name": "Divine Tyrfing",	"name": "聖剣ティルフィング",
"name": "Crusader's Ward",	"name": "聖騎士の加護",
"name": "Spd Smoke 1",	"name": "速さの紫煙 1",
"name": "Spd Smoke 2",	"name": "速さの紫煙 2",
"name": "Spd Smoke 3",	"name": "速さの紫煙 3",
"name": "Ayra's Blade",	"name": "瞬閃アイラの剣",
"name": "Regnal Astra",	"name": "剣姫の流星",
"name": "Divine Naga",	"name": "聖書ナーガ",
"name": "Spd Ploy 1",	"name": "速さの謀策 1",
"name": "Spd Ploy 2",	"name": "速さの謀策 2",
"name": "Spd Ploy 3",	"name": "速さの謀策 3",
"name": "Rally Speed Resistance",	"name": "速さ魔防の応援",
"name": "Follow-Up Ring",	"name": "追撃リング",
"name": "Valflame",	"name": "ファラフレイム",
"name": "Recover Ring",	"name": "リカバーリング",
"name": "Squad Ace A 1",	"name": "第１迷宮の覇者 1",
"name": "Squad Ace A 2",	"name": "第１迷宮の覇者 2",
"name": "Squad Ace A 3",	"name": "第１迷宮の覇者 3",
"name": "Squad Ace B 1",	"name": "第２迷宮の覇者 1",
"name": "Squad Ace B 2",	"name": "第２迷宮の覇者 2",
"name": "Squad Ace B 3",	"name": "第２迷宮の覇者 3",
"name": "Squad Ace C 1",	"name": "第３迷宮の覇者 1",
"name": "Squad Ace C 2",	"name": "第３迷宮の覇者 2",
"name": "Squad Ace C 3",	"name": "第３迷宮の覇者 3",
"name": "Squad Ace D 1",	"name": "第４迷宮の覇者 1",
"name": "Squad Ace D 2",	"name": "第４迷宮の覇者 2",
"name": "Squad Ace D 3",	"name": "第４迷宮の覇者 3",
"name": "Squad Ace E 1",	"name": "第５迷宮の覇者 1",
"name": "Squad Ace E 2",	"name": "第５迷宮の覇者 2",
"name": "Squad Ace E 3",	"name": "第５迷宮の覇者 3",
"name": "Spectral Tome",	"name": "ゴーストの魔道書",
"name": "Spectral Tome+",	"name": "ゴーストの魔道書+",
"name": "Monstrous Bow",	"name": "怪物の弓",
"name": "Monstrous Bow+",	"name": "怪物の弓+",
"name": "Bracing Blow 1",	"name": "金剛明鏡の一撃 1",
"name": "Bracing Blow 2",	"name": "金剛明鏡の一撃 2",
"name": "Grimoire",	"name": "グリモワール",
"name": "Atk Res Bond 1",	"name": "攻撃魔防の絆 1",
"name": "Atk Res Bond 2",	"name": "攻撃魔防の絆 2",
"name": "Atk Res Bond 3",	"name": "攻撃魔防の絆 3",
"name": "Kitty Paddle",	"name": "猫の暗器",
"name": "Kitty Paddle+",	"name": "猫の暗器+",
"name": "Warding Stance 1",	"name": "明鏡の構え 1",
"name": "Warding Stance 2",	"name": "明鏡の構え 2",
"name": "Warding Stance 3",	"name": "明鏡の構え 3",
"name": "Dagger Valor 1",	"name": "暗器の技量 1",
"name": "Dagger Valor 2",	"name": "暗器の技量 2",
"name": "Dagger Valor 3",	"name": "暗器の技量 3",
"name": "Stout Tomahawk",	"name": "剛斧トマホーク",
"name": "Fierce Stance 1",	"name": "鬼神の構え 1",
"name": "Fierce Stance 2",	"name": "鬼神の構え 2",
"name": "Fierce Stance 3",	"name": "鬼神の構え 3",
"name": "Weirding Tome",	"name": "奇異ルーテの書",
"name": "HP Res 1",	"name": "ＨＰ魔防 1",
"name": "HP Res 2",	"name": "ＨＰ魔防 2",
"name": "Resolute Blade",	"name": "気鋭ワユの剣",
"name": "Flashing Blade 1",	"name": "柔剣 1",
"name": "Flashing Blade 2",	"name": "柔剣 2",
"name": "Flashing Blade 3",	"name": "柔剣 3",
"name": "Audhulma",	"name": "氷剣アウドムラ"
